Timestamp,AgentName,CallType,Purpose,Description,Model,RunMode,UploadTokens,DownloadTokens,CostGBP
2026-07-15T16:04:31.199162+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:31.216599+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:31.936236+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:32.656735+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:32.660975+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:04:33.728542+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,100,40,0.0005
2026-07-15T16:04:35.963858+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:04:42.041765+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,0,0,0.0
2026-07-15T16:04:43.079208+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,480,160,0.002
2026-07-15T16:04:44.134622+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,400000,200000,2.212
2026-07-15T16:04:45.181403+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:05:04.578047+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:04.589400+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:05.320363+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:05.321872+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:06.060210+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:06.071148+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:06.796141+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:06.796738+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:07.539221+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:07.553712+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:08.271060+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:08.279263+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:09.943258+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:09.944318+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:10.699928+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:10.705809+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:11.462809+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:11.466398+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:12.178720+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:12.898454+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:12.903972+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:13.627599+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:13.631192+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:15.308244+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:15.323761+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,100,40,0.0005
2026-07-15T16:05:16.024913+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:16.042440+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:05:16.782589+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:16.800762+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:05:17.562574+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:17.579257+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:18.313708+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:18.330997+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:05:19.057714+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:05:19.063570+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:29.535652+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:31.578949+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:31.582906+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:32.289655+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:32.295835+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:33.007956+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:33.020223+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:33.782166+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:33.784138+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:34.545442+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:34.556241+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:35.294253+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:35.300972+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-15T16:21:36.345312+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,100,40,0.0005
2026-07-15T16:21:38.598148+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-15T16:21:44.898837+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,0,0,0.0
2026-07-15T16:21:45.951737+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,480,160,0.002
2026-07-15T16:21:46.994595+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,400000,200000,2.212
2026-07-15T16:21:48.053825+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-16T10:32:37.584516+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:38.654856+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:38.667767+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:39.422487+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:39.422991+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:40.141077+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:40.157868+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,50,20,0.0002
2026-07-16T10:32:40.889470+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:40.894364+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:41.648691+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:41.648991+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:42.428424+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:42.431889+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,200,80,0.0009
2026-07-16T10:32:43.489667+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,100,40,0.0005
2026-07-16T10:32:45.768066+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
2026-07-16T10:32:52.169769+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,0,0,0.0
2026-07-16T10:32:53.270007+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,480,160,0.002
2026-07-16T10:32:54.371379+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,400000,200000,2.212
2026-07-16T10:32:55.459315+00:00,lab14104.labs.decoded.com,Claude API,Data analysis,,claude-sonnet-5,sequential,150,60,0.0007
